7896016806308##BARACLUDE                                    0,5MG CX 30 COMP##772,12 
7896016806315##BARACLUDE                                    1MG CX 30 COMP##772,12 
7896676400724##BARIOGEL                                     100% SUS ORAL CX 1 COPO X 150ML##12,05 
7896676413625##BARIOGEL                                     100% SUS ORAL CX 10 COPOS X 150ML##120,56 
7896676413618##BARIOGEL                                     100% SUS ORAL CX 10 COPOS X 200ML##134,09 
7896226105192##BARIVIT                                      CX 60 COMP REV MAST##50,14 
7891317488550##BART H                                       150+12,5MG CX 30 COMP##58,48 
7891317488598##BART H                                       300+12,5MG CX 30 COMP##58,48 
7891106000956##BAYCUTEN N                                   10+0,443MG/G CREME BG 40##21,49 
7899095220492##BEBEX ADE                                    ADE POM BG 45##12,16 
7899095220478##BEBEX N                                      N POM BG 60##29,35 
7899095222168##BEBEX PREVINE                                PREVINE 200MG CREME BG PLAS 45##11,03 
7898549751810##BEBEZINC                                     SUS ORAL 30 ML##20,27 
7896422520362##BECARVE                                      12,5MG CX 15 COMP##27,49 
7896422520379##BECARVE                                      12,5MG CX 30 COMP##54,97 
7896422520393##BECARVE                                      25MG CX 15 COMP##30,83 
7896422520409##BECARVE                                      25MG CX 30 COMP##61,65 
7896422524315##BECARVE                                      3,125MG CX 15 COMP##22,17 
7896422524322##BECARVE                                      3,125MG CX 30 COMP##44,34 
7896422520331##BECARVE                                      6,25MG CX 15 COMP##24,78 
7896422520348##BECARVE                                      6,25MG CX 30 COMP##49,57 
7896016800849##BECENUN                                      100MG INJ 10FA+DIL E.M.##2.289,21 
7896714233499##BECLONATO                                    5+2MG/ML SUS INJ 1AMP X 1ML+SER##12,18 
7896714233512##BECLONATO                                    SUS INJ CX 50 AMP X 1ML##906,39 
7896269900211##BECLOSOL                                     50MCG SOL SPRAY NAS AQU 200DOS##37,43 
7893353206143##BEDOZIL                                      5000MCG SOL INJ CX 10 AMP X 2ML##66,19 
7893353206129##BEDOZIL                                      5000MCG SOL INJ CX 50 AMP X 2ML##221,25 
7896523210919##BEFOLIK                                      5MG CX 30 COMP REV##7,05 
7898582380183##BELARA                                       2+0,03MG CX 21 COMP REV##27,06 
7897917000338##BELCOMPLEX                                   FR 50 COMP##12,84 
7897917000345##BELCOMPLEX                                   SOL OR FR GTS 30ML##8,64 
7897917000352##BELCOMPLEX                                   XPE FR 100ML##6,74 
7897917000260##BELFACTRIM                                   400+80MG CX 20 COMP##9,72 
7897917001694##BELFACTRIM F                                 800+160MG CX 10 COMP##10,35 
7897917001762##BELFAREN                                     10MG GEL BG 60##15,51 
7897917001465##BELFAREN                                     50MG CX 20 COMP##6,19 
7897917000734##BELGLOS                                      POM BG X 20GR##12,25 
7897917003995##BELGLOS                                      POM BG 45##11,60 
7898171782152##BELLY                                        500MG CX 60 CAP##107,42 
7897917000031##BELMIRAX                                     100MG CX 6 COMP##3,67 
7897917000048##BELMIRAX                                     20MG SUS OR FR 30ML##3,95 
7898040322700##BELPELE                                      3MG/G GEL BG X 30##53,09 
7897917001892##BELPIDEX                                     5+60MG CX 20 COMP REV##4,21 
7897917001410##BELSCOPAN                                    10MG CX 20 COMP##8,09 
7489791700295##BELSPAN                                      250+10MG CX 1000 COMP REV EMB HOSP##421,96 
7897917002936##BELSPAN                                      250+10MG CX 200 COMP REV EMB HOSP##84,38 
7897917002943##BELSPAN                                      250+10MG CX 500 COMP REV EMB HOSP##210,97 
7897917001397##BELSPAN COMPOSTO                             250+10MG CX 20 COMP##8,43 
7897917001380##BELSPAN COMPOSTO                             333,4+6,67MG SOL OR FR GTS 20ML##7,99 
7891317482473##BEMINAL                                      FR 30 COMP REV##40,21 
7891010803797##BENALET                                      TOSSE SECA 3MG XPE FR 120ML##11,84 
