7898014561838##ALCANATAN                                    250MG FR 150ML##16,62 
7896083410712##ALCATOSS                                     108MG/ML FR 120ML XAROPE##19,53 
8902220105690##ALCYTAM                                      20MG CX 14 COMP##36,16 
8902220105683##ALCYTAM                                      20MG CX 28 COMP##53,33 
7891268100204##ALDACTONE                                    100MG CX 16 COMP##22,89 
7891268100211##ALDACTONE                                    25MG CX 30 COMP##20,07 
7891268100228##ALDACTONE                                    50MG CX 30 COMP##31,57 
7891268100303##ALDAZIDA                                     50+50MG CX 30 COMP##25,90 
7899420500732##ALDIJET                                      150+10MG/ML SOL INJ 1AMPX1ML##9,65 
7895858000591##ALDOMET                                      250MG CX 30 COMP REV##19,38 
7895858005924##ALDOMET                                      500MG CX 30 COMP REV##37,75 
7895858002213##ALDOSTERIN                                   100MG CX 16 COMP REV##13,39 
7895858002404##ALDOSTERIN                                   100MG CX 160 COMP REV##133,87 
7895858002381##ALDOSTERIN                                   25MG CX 200 COMP REV##114,68 
7898328480085##ALDURAZYME                                   2,9 MG/5 ML SOL INJ X 5 ML##1.464,75 
7896641807732##ALEKTOS                                      20MG CX 10 COMP##19,42 
7896641807763##ALEKTOS                                      20MG CX 15 COMP##29,12 
7896641807770##ALEKTOS                                      20MG CX 30 COMP##58,26 
7898040320621##ALENDIL                                      70MG CX 4 COMP##81,12 
7898040320706##ALENDIL                                      70MG CX 8 COMP##121,51 
7898040321765##ALENDIL CALCIO                               70+500+2MG CX 4+30 COMP REV##75,27 
7898040321567##ALENDIL CALCIO                               70+500+2MG CX 4+60 COMP REV##87,77 
7896004727479##ALENDOSSEO                                   70MG 1BL X 4 COMP##31,78 
7896004715308##ALENDRONATO DE SODIO                         70MG CX 2 COMP##21,64 
7896004715322##ALENDRONATO DE SODIO                         70MG CX 4 COMP##37,62 
7896004715353##ALENDRONATO DE SODIO                         70MG CX 4 COMP##36,52 
7894916143424##ALENDRONATO DE SODIO                         70MG CX 4 COMP##36,52 
7896658014833##ALENDRONATO DE SODIO                         70MG CX 4 COMP##36,28 
7896181920038##ALENDRONATO DE SODIO                         70MG CX 4 COMP##36,28 
7897595610089##ALENDRONATO DE SODIO                         70MG CX 4 COMP REV##36,52 
7897595610096##ALENDRONATO DE SODIO                         70MG CX 8 COMP REV##63,92 
7895296212816##ALENDRONATO DE SODIO                         70MG CX 10 COMP##75,47 
7896714231204##ALENDRONATO DE SODIO                         70MG CX 4 COMP##37,34 
7896112162322##ALENDRONATO DE SODIO                         70MG CX 40 COMP##29,58 
7896714232119##ALENDRUS                                     70MG CX 4 COMP##32,49 
7896181911999##ALENIA                                       12+400MCG FR 60 CAP+INAL##85,79 
7896181911784##ALENIA                                       12+400MCG FR 60 CAP+REFIL##67,98 
7896181905271##ALENIA                                       6+100MCG FR 60 CAP+INAL##63,63 
7896181905295##ALENIA                                       6+200MCG FR 60 CAP+INAL##75,22 
7896181905288##ALENIA                                       6+200MCG FR 60 CAP+REFIL##50,52 
7896181917670##ALENIA                                       12+400MCG CX 15 CAP REFIL##16,99 
7896181917687##ALENIA                                       12+400MCG CX 15 CAP+INAL##21,45 
7896181917229##ALENIA                                       6+200MCG CX 15 CAP REFIL##12,03 
7896181917236##ALENIA                                       6+200MCG CX 15 CAP+INAL##18,80 
7896422514453##ALENTHUS XR                                  150MG CX 15 CAP GEL##58,82 
7896422514460##ALENTHUS XR                                  150MG CX 30 CAP##57,01 
7896422519892##ALENTHUS XR                                  37,5MG CX 15 CAP##17,22 
7896422519908##ALENTHUS XR                                  37,5MG CX 30 CAP GEL##24,06 
7896422516822##ALENTHUS XR                                  37,5MG CX 7 CAP GEL##8,86 
7896422514477##ALENTHUS XR                                  75MG CX 15 CAP##37,67 
7896422514484##ALENTHUS XR                                  75MG CX 30 CAP##48,51 
7895296258012##ALERADINA                                    0,5MG/ML FR X 60ML##20,64 
7895296258036##ALERADINA                                    0,5MG/ML XPE FR X 100ML##34,44 
7895296258029##ALERADINA                                    5MG 1BL X 30 COMP REV##58,72 
7896004739151##ALERADINA                                    5MG CX 10 COMP REV##23,86 
7896672202513##ALERFIN                                      100MCG FR 120 DOS##44,31 
7896004712673##ALERGALIV                                    10MG CX 15 COMP##20,76 
7896004712666##ALERGALIV                                    1MG XPE FR 100ML##19,05 
7896004716480##ALERGALIV D                                  1+12MG XPE FR 60ML##16,00 
7898014561425##ALERGCORTEN                                  20MG CX 20 COMP##13,18 
7898014561418##ALERGCORTEN                                  5MG CX 20 COMP##7,31 
7896714225586##ALERGIDEX                                    0,4+0,05MG XPE FR 120ML##15,76 
7896677700021##ALERGINYL                                    SOL FR 20ML##28,80 
7896523209425##ALERGOMINE                                   0,4MG/ML SOL OR FR 120ML+CM##9,69 
7896523209715##ALERGOMINE                                   10MG/G CREME BG 30##8,19 
7898078940556##ALERMINE                                     2MG/5ML XPE FR 100ML##9,42 
7894916503099##ALEXA                                        0,06+0,015MG CX 24 COMP REV##18,38 
7896014658190##ALFAEPOETINA                                 10000UI/ML SOL INJ 12 SER X 0,4ML##1.681,86 
7896014658343##ALFAEPOETINA                                 10000UI/ML SOL INJ 12 SER X 1ML##4.391,83 
7896014658145##ALFAEPOETINA                                 10000UI/ML SOL INJ 12SER X 0,3ML##1.085,58 
7896014658107##ALFAEPOETINA                                 10000UI/ML SOL INJ 1SER X 0,3ML##90,47 
7896014658152##ALFAEPOETINA                                 10000UI/ML SOL INJ 1SER X 0,4ML##140,14 
7896014658305##ALFAEPOETINA                                 10000UI/ML SOL INJ 1SER X 1ML##402,22 
7896014658008##ALFAEPOETINA                                 2000UI/ML SOL INJ 1SER X 0,5ML##44,19 
