7896181902553##DISGREN                                      300MCG CX 20 CAP##37,92 
7898495604758##DISPLAY SUAVEPES E SUAVEMAOS                 6BG SUAVEPES+6BG DE SUAVEMAOS X 60##114,56 
7891317452124##DIUBLOK                                      100+25MG CX 10 COMP##8,59 
7891317452155##DIUBLOK                                      100+25MG CX 30 COMP##25,78 
7891317452179##DIUBLOK                                      50+12,5MG CX 10 COMP##5,27 
7891317452209##DIUBLOK                                      50+12,5MG CX 30 COMP##15,81 
7891317000288##DIUPRESS                                     25MG+5MG CX 20 COMP##12,46 
7899095201224##DIUREMIDA                                    40MG CX 20 COMP##4,79 
7896677700212##DIURENIL                                     SOL FR 20 ML##28,80 
7898078940976##DIURETIC                                     25MG CX 20 COMP##3,69 
7893736002300##DIUREZIN                                     25MG CX 20 COMP##3,28 
7893736011043##DIUREZIN                                     50MG CX 20 COMP##4,30 
7891317000233##DIURISA                                      40+10 MG CX 20 COM##20,68 
7898075311496##DIURIT                                       40MG 25BL X 20COMP EMB HOSP##29,63 
7898075310369##DIURIT                                       40MG CX 20 COMP##7,78 
7896112141280##DIURIX                                       25MG CX 20 COMP##3,29 
7896112122432##DIURIX                                       25MG CX 30 COMP##4,94 
7896112141297##DIURIX                                       50MG CX 20 COMP##3,81 
7896112122449##DIURIX                                       50MG CX 30 COMP##5,74 
7989505091417##DIVA                                         3BL X 21DR##69,77 
7898505091400##DIVA                                         CX 21 COMP REV##26,13 
7898927562052##DIVALPROATO DE SODIO                         250MG CX 20 COMP REV##13,98 
7898927562069##DIVALPROATO DE SODIO                         500MG CX 20 COMP REV##26,04 
7897851220625##DIVELOL                                      12,5MG CX 28 COMP##24,40 
7897851220762##DIVELOL                                      12,5MG CX 60 COMP##30,38 
7897851250431##DIVELOL                                      25MG CX 28 COMP##41,73 
7897851220779##DIVELOL                                      25MG CX 60 COMP##30,38 
7897851221165##DIVELOL                                      3,125 MG COM CT BL AL PLAS TRANS X 60##30,38 
7897851250509##DIVELOL                                      3,125MG CX 14 COMP##13,61 
7897851250554##DIVELOL                                      3,125MG CX 28 COMP##26,32 
7897851250462##DIVELOL                                      6,25MG CX 14 COMP##15,23 
7897851220618##DIVELOL                                      6,25MG CX 28 COMP##20,64 
7897851221141##DIVELOL                                      6,25MG CX 60 COMP##30,38 
7898074616042##DIVIDOL                                      70MG CX 12 CAP##24,00 
7896242150930##DNAREN                                       25MG SOL INJ CX 50 AMP VD X 3ML EMB HOSP##37,70 
7896014656851##DNAREN                                       25MG/ML SOL INJ CX 50 AMP X 3ML EMB HOSP##39,98 
7896637025423##DOBEVEN                                      500MG CX 30 COMP##44,87 
7896637025393##DOBEVEN                                      500MG CX C/5 CAPSULAS##7,48 
7896006232209##DOBTAN                                       12,5MG/ML SOL INJ 1AMP X 20ML REST HOSP##28,24 
7898208142386##DOBUTANIL                                    12,5MG SOL INJ CX 50 AMP X 20ML HOSP##1.069,39 
7898208142157##DOBUTANIL                                    250MG SOL INJ CX 1 AMP X 20ML HOSP##21,36 
7896242150947##DOBUTARISTON                                 12,5MG SOL INJ CX 20 AMP X 20ML##650,66 
7896014688111##DOBUTARISTON                                 12,5MG/ML SOL INJ CX 20 AMP  X 20ML##690,16 
7898564760125##DOBUTREX                                     250MG SOL INJ CT 20 AMP X 20 ML##570,16 
7898564760149##DOBUTREX                                     250MG SOL INJ CT 40 AMP X 20 ML##1.140,31 
7898564760118##DOBUTREX                                     250 MG SOL INJ CT 10 AMP VD TRANS X 20 ML##285,08 
7898564760132##DOBUTREX                                     250 MG SOL INJ CT 30 AMP VD TRANS X 20 ML##855,23 
7898901848059##DOBUTREX                                     250MG SOL INJ 1AMP X 20ML##28,51 
7896094201699##DOCELIBBS                                    20MG/ML SOL INJ FA X 0,5ML+DIL X 1,5ML##976,83 
7896094201705##DOCELIBBS                                    80MG/ML SOL INJ FA X 2ML+DIL X 6ML##3.512,20 
7897473202085##DOCETAXEL                                    20MG SOL INJ FA 0,5ML +DIL 1,5ML##542,74 
7891317421373##DOCETAXEL                                    20MG SOL INJ FA 0,5ML+DIL X1,5ML##674,83 
7891317421380##DOCETAXEL                                    80MG SOL INJ FA 2,0ML+DIL X 6,0ML##2.433,43 
7897473202092##DOCETAXEL                                    80MG SOL INJ FA X 2ML+DIL 6ML##1.957,20 
7898901921387##DOCETERE                                     120MG SOL INJ 1FA X 3ML+DIL X 9ML##4.888,51 
7898901921011##DOCETERE                                     20MG SOL INJ FA X 0,5ML+DIL X 1,5ML##958,52 
7898901921011##DOCETERE                                     20MG/5ML SOL INJ 1FA X 5ML+DIL 1,5ML##958,52 
7898901921028##DOCETERE                                     80MG SOL INJ 1FA X 2ML+DIL 6ML##3.456,48 
7898901921028##DOCETERE                                     80MG SOL INJ 1FA X 2ML+DIL X 6ML##3.456,48 
7898901921387##DOCETERE                                     120MG SOL INJ FA X 3,0ML+DIL X 9,0ML##4.888,51 
7896014685325##DOCLAXIN                                     1000+200MG PO INJ CX 10 FA VD INC (EMB HOSP)##455,64 
7896014685349##DOCLAXIN                                     1000+200MG PO INJ CX 100 FA VD INC (EMB HOSP)##4.556,49 
7896014685301##DOCLAXIN                                     1000+200MG PO INJ CX 20 FA VD INC+20 AMP 10ML##911,30 
7896014685332##DOCLAXIN                                     1000+200MG PO INJ CX 20FA VD INC(EMB HOSP)##911,30 
7896014685318##DOCLAXIN                                     1000+200MG PO INJ CX 50 FA VD INC+50 AMP 10ML##2.278,29 
7896014685295##DOCLAXIN                                     1000+200MG SOL PO INJ CX 10FA X 10ML EMB HOSP##455,64 
7896014685356##DOCLAXIN                                     500+100MG PO INJ CX 10 FA VD INC (EMB HOSP)##288,32 
7896014685264##DOCLAXIN                                     500+100MG PO INJ CX 10 FA VD INC+10 AMP 10ML##288,32 
7896014685370##DOCLAXIN                                     500+100MG PO INJ CX 100 FA VD INC (EMB HOSP)##2.883,12 
7896014685271##DOCLAXIN                                     500+100MG PO INJ CX 20 FA VD INC+20 AMP 10ML##576,78 
7896014685363##DOCLAXIN                                     500+100MG PO INJ CX 20FA VD INC (EMB HOSP)##576,63 
7896014685288##DOCLAXIN                                     500+100MG PO INJ CX 50 FA VD INC+50 AMP 10ML##1.441,90 
7897595902047##DOGMATIL                                     200MG CX 20 COMP##17,12 
7897595901972##DOGMATIL                                     20MG/ML SOL OR FR GTS 30ML PED##8,92 
7897595902054##DOGMATIL                                     50MG CX 20 CAP##11,97 
7898040320768##DOLAMIN                                      125MG CX 16 COMP REV##15,15 
7898040321253##DOLAMIN FLEX                                 125+5,0MG CX 15 COMP REV##30,47 
7891058221027##DOLANTINA                                    50MG SOL INJ 5BL X 5AMP X 2ML##64,58 
7896006225720##DOLO MOFF                                    0,2MG/ML SOL INJ CX 50 AMP X 1ML EMB HOSP##162,33 
7896006225683##DOLO MOFF                                    10MG FR 50 COMP##19,19 
7896006269809##DOLO MOFF                                    10MG/ML SOL INJ CX 50 AMP X 1 ML##110,30 
7896006225409##DOLO MOFF                                    1MG/ML SOL INJ CX 50 AMP X 2ML EMB HOSP##180,96 
7896006270386##DOLO MOFF                                    30MG FR 50 COMP##51,54 
7896676402537##DOLOSAL                                      100MG CX 25AMP X 2ML EMB HOSP##65,69 
7896004723563##DOMPERIDONA                                  10MG CX 2BL X 15 COMP##10,03 
7896004723587##DOMPERIDONA                                  10MG CX 2BL X 15 COMP##10,01 
7894916145114##DOMPERIDONA                                  10MG CX 2BL X 15 COMP##9,93 
7896004723570##DOMPERIDONA                                  10MG CX 4BL X 15 COMP##19,02 
7896004723594##DOMPERIDONA                                  10MG CX 4BL X 15 COMP##18,97 
7894916145121##DOMPERIDONA                                  10MG CX 4BL X 15 COMP##18,87 
7891317452995##DOMPERIDONA                                  10MG CX 30 COMP##10,05 
7896422513173##DOMPERIDONA                                  1MG/ML SUS OR FR 100ML +PIPET DOS##23,65 
7896422513173##DOMPERIDONA                                  1MG/ML SUS OR FR 100ML +SER DOS##23,65 
7897076912183##DOMPERIDONA                                  10MG CX 30 COMP##8,81 
7895296048033##DOMPERIDONA                                  10MG CX 30 COMP##9,92 
7897076912190##DOMPERIDONA                                  10MG CX 60 COMP##15,73 
7895296048057##DOMPERIDONA                                  10MG CX 60 COMP##18,72 
7891317455040##DOMPERIX                                     10MG CX 30 COMP##12,85 
7891317483531##DOMPERIX                                     1MG/ML SUS OR FR 100ML+1SER DOS##21,83 
7896004724157##DOMPGRAN                                     10MG 2BL CX 15 COMP##9,84 
7896004723778##DOMPLIV                                      10MG CX 2BL X 15 COMP##9,56 
7896004723785##DOMPLIV                                      10MG CX 4BL X 15 COMP##18,14 
7896637023979##DONAREN                                      100MG CX 30 COMP REV##50,99 
7896637023634##DONAREN                                      50MG CX 20 COMP REV##17,00 
7896637022767##DONAREN                                      50MG CX 60 COMP REV##51,00 
7896637023603##DONAREN RETARD                               150MG CX 10 COMP REV##24,03 
7896637023610##DONAREN RETARD                               150MG CX 20 COMP REV##51,00 
7896658014574##DONILA                                       10MG CX 15 COMP REV##31,87 
7896658014567##DONILA                                       10MG CX 30 COMP REV##63,75 
7896658014604##DONILA                                       5MG CX 30 COMP REV##58,07 
7896658014628##DONILA                                       5MG CX 7 COMP REV##13,56 
7896014688487##DOPABANE                                     5MG PO INJ CX 10 AMP VD INC X 10ML##15,65 
7896014688494##DOPABANE                                     INJ##15,65 
7896676405316##DOPACRIS                                     5MG CX 50AMP X 10ML EMB HOSP##93,55 
7895858011581##DOPCOR HCT                                   160+12,5MG CX 10 COM REV##18,64 
7895858011598##DOPCOR HCT                                   160+12,5MG CX 14 COM REV##26,10 
7895858011604##DOPCOR HCT                                   160+12,5MG CX 28 COM REV##52,21 
7895858011611##DOPCOR HCT                                   160+12,5MG CX 30 COMP REV##60,24 
7895858011628##DOPCOR HCT                                   160+25MG CX 10 COM REV##21,46 
7895858011635##DOPCOR HCT                                   160+25MG CX 14 COM REV##30,04 
7895858011642##DOPCOR HCT                                   160+25MG CX 28 COM REV##60,08 
7895858011659##DOPCOR HCT                                   160+25MG CX 30 COMP REV##43,05 
7895858011666##DOPCOR HCT                                   320+12,5MG CX 10 COM REV##18,64 
7895858011673##DOPCOR HCT                                   320+12,5MG CX 14 COM REV##26,10 
7895858011680##DOPCOR HCT                                   320+12,5MG CX 28 COM REV##52,21 
7895858011697##DOPCOR HCT                                   320+12,5MG CX 30 COMP REV##38,95 
7895858011703##DOPCOR HCT                                   320+25MG CX 10 COM REV##21,46 
7895858011710##DOPCOR HCT                                   320+25MG CX 14 COM REV##30,04 
7895858011727##DOPCOR HCT                                   320+25MG CX 28 COM REV##60,08 
7895858011734##DOPCOR HCT                                   320+25MG CX 30 COMP REV##69,32 
7895258011543##DOPCOR HCT                                   80+12,5MG CX 10 COM REV##18,64 
7895858021155##DOPCOR HCT                                   80+12,5MG CX 14 COM REV##26,10 
7895858011567##DOPCOR HCT                                   80+12,5MG CX 28 COM REV##52,21 
7895858011574##DOPCOR HCT                                   80+12,5MG CX 30 COMP REV##60,24 
7898208147138##DOPIMEX                                      5MG SOL INJ CX 50 AMP X 10ML HOSP##69,18 
7891317418229##DOPO                                         0,75MG CX 2 COMP##10,39 
7898049793471##DORALEX                                      500MG CX BL 200 COMP##74,02 
7898049793426##DORALEX                                      500MG CX ENV 200 COMP##72,22 
7898014560411##DORALFLEX                                    CX 12 COMP##3,73 
7898014562163##DORALFLEX                                    CX 20BL X 10 COMP##62,11 
7896714210070##DORALGINA                                    30+300+30MG CX 100 DRG E.M##70,17 
7896714210018##DORALGINA                                    30+300+30MG CX 20 DR##14,42 
7896714203232##DORALGINA                                    50+300+30MG/ML SOL OR FR GTS X 15ML##11,35 
7896658014017##DORALIV                                      100MG SUSP OR FR 20ML##10,35 
7898100243297##DORANGUITOS                                  CX 120 COMP MAST SB MORANGO##41,56 
7896622302492##DORAPLAX                                     200MG CX 50BL X 4 COMP REV E.M.##103,85 
7898158694379##DORCIFLEXIN                                  35+300+50MG CX 240 COMP##79,48 
7896888500113##DORDENTE                                     CX 24 FLAC##71,31 
7896888500120##DORDENTE                                     FLAC X 3ML##2,97 
7896658015816##DORENE                                       150MG CX 15 CAP##35,62 
7896658015779##DORENE                                       150MG CX 30 CAP##71,25 
7896658015786##DORENE                                       75MG CX 15 CAP##23,23 
7896658015724##DORENE                                       75MG CX 30 CAP##46,47 
7898075310314##DORFEBRIL                                    500MG/ML SOL ORAL FR GTS 10ML##1,97 
7898075311144##DORFEBRIL                                    500MG/ML SOL ORAL FR GTS 20ML##3,96 
7893736061000##DORFEN                                       160MG CX 12 COMP MAST##16,30 
7893736022001##DORFEN                                       160MG CX 24 COMP MAST##30,52 
7893736032000##DORFEN                                       160MG/5ML SUS OR FR 60ML+CM##9,02 
7893736012002##DORFEN                                       200MG SOL OR FR GTS 15ML##10,44 
7893736031003##DORFEN                                       500MG CX 200 COMP##72,66 
7893736011005##DORFEN                                       750MG CX 200 COMP##156,41 
7893736027006##DORFEN                                       80MG CX 12 COMP MAST##9,37 
7898049791088##DORFENOL                                     200MG/ML SOL OR CX 50 FR X 15ML EMB HOSP##269,82 
7898049793501##DORFENOL                                     200MG/ML SOL OR FR GTS 15ML##6,18 
7898049791501##DORFENOL                                     750MG CX 200 COMP EMB HOSP##72,52 
7898049793440##DORFENOL                                     750MG X 200 COMP EMB HOSP##70,76 
7893736023008##DORFLAN                                      1% GEL TOP BG 60##14,44 
7891058008628##DORFLEX                                      35+300+50MG CX 240 COM E.M##78,19 
7891058008611##DORFLEX                                      35+300+50MG CX 30 COM##9,78 
7891058009458##DORFLEX                                      35+300+50MG SOL OR FR 20ML##9,15 
7891058017132##DORFLEX ICY HOT                              1 X 3 BAND ELAST##25,52 
7891058017118##DORFLEX ICY HOT                              1X3 ADES EXTRA GRAND (14CM X 25CM)##16,97 
7891058017101##DORFLEX ICY HOT                              1X5 ADES GRAND (10CM X 20 CM)##12,72 
7891058017095##DORFLEX ICY HOT                              1X5 ADES PEQ (8 CM X 12 CM)##10,83 
7891058017156##DORFLEX ICY HOT                              ROLL-ON 73ML##14,09 
7891058017149##DORFLEX ICY HOT                              SPRAY 118ML##19,08 
7891058019792##DORFLEX ICY HOT                              SPRAY 90ML##17,96 
