7897595901927##A A S                                        100MG CX 120 COMP##38,21 
7897595900593##A A S                                        100MG CX 200 COMP E.M##68,52 
7897595900029##A A S                                        100MG CX 30 COMP##9,95 
7897595903693##A A S PROTECT                                100MG CX 30 COMP REV##10,46 
7896006211808##A CURITYBINA                                 0,1G/ML SOL TOP FA X 5ML##6,54 
7896006212508##A CURITYBINA                                 280MG/G FR 12 PAST X 13##62,41 
7896004817477##A SAUDE DA MULHER                            SUS FR 150ML##8,90 
7891058010362##AAS PROTECT                                  100MG CX 10 COM REV##3,48 
7896331702545##ABC                                          10MG/G CREME DERM BG 20##8,89 
7896331702583##ABC                                          10MG/ML SOL SPRAY FR 30ML##22,13 
7894164004928##ABCALCIUM B12                                12UI+42+7,5+0,075MG+1,5MCG SUS OR FR 200ML+CM##16,98 
7894164000418##ABCLER                                       10+50+100MG/ML SOL OR CX 12FLAC X 10ML##20,62 
7894164000388##ABCLER                                       10+50+100MG/ML SOL OR CX 60FLAC X 10ML##96,67 
7894164004904##ABCLER                                       10+50+100MG/ML SOL OR FR 120ML+COP##17,29 
7898906376489##ABELCET                                      5 MG/ML SUS INJ IV 1FA X20 ML AGU 5##2.276,73 
7898906376489##ABELCET                                      5MG/ML SUS INJ 1FAX20ML+AGU##2.276,73 
7896016806322##ABILIFY                                      10MG CX 10 COMP##153,44 
7896016806001##ABILIFY                                      15MG CX 30 COMP##690,47 
7896241225530##ABLOK                                        100MG CX 30 COMP##25,00 
7896241221853##ABLOK                                        25MG CX 30 COMP##9,72 
7896241225523##ABLOK                                        50MG CX 30 COMP##15,29 
7896241225547##ABLOK PLUS                                   100+25MG CX 30 COMP##32,57 
7896112411437##ABLOK PLUS                                   100+25MG CX 60 COMP##65,16 
7896112419778##ABLOK PLUS                                   100+25MG CX 90 COMP##97,74 
7896241225257##ABLOK PLUS                                   25+12,5MG CX 30 COMP##10,95 
7896112411529##ABLOK PLUS                                   25+12,5MG CX 60 COMP##21,85 
7896112419730##ABLOK PLUS                                   25+12,5MG CX 60 COMP##32,82 
7896241225127##ABLOK PLUS                                   50+12,5MG CX 30 COMP##20,20 
7896112411512##ABLOK PLUS                                   50+12,5MG CX 60 COMP##40,39 
7896112419761##ABLOK PLUS                                   50+12,5MG CX 90 COMP##60,60 
7898040321642##ABRILAR                                      65MG PO EFV 10 SACHES X 3,4##28,81 
7898040320973##ABRILAR                                      7MG XPE FR 100ML+CM##27,94 
7898040321970##ABRILAR                                      7MG XPE FR 200ML+CM##46,56 
7898040322878##ABRILAR                                      7MG/ML SOL ORAL CX 21 ENV X 5ML##30,26 
7896181900191##ACARSAN                                      25% SOL FR 80ML##7,47 
7896658000010##ACCUVIT                                      CX 30 COMP REV##62,03 
7898148292905##ACEBROFILINA                                 10MG XPE CX 50 FR X 120ML+50CM EMB HOSP##553,81 
7896714214146##ACEBROFILINA                                 10MG XPE FR 120ML ADU##16,39 
7898148292851##ACEBROFILINA                                 10MG/ML XPE FR 120ML+CM##16,38 
7896004710464##ACEBROFILINA                                 25MG FR 120ML+CM##12,10 
7894916140492##ACEBROFILINA                                 25MG XPE FR 120ML##12,94 
7896004710488##ACEBROFILINA                                 25MG/5ML XPE FR 120ML##12,27 
7896004710495##ACEBROFILINA                                 50 MG XPE FR 120ML##16,72 
7896004710471##ACEBROFILINA                                 50MG FR 120ML+CM##17,07 
7894916140485##ACEBROFILINA                                 50MG XPE FR 120ML##16,63 
7898148292790##ACEBROFILINA                                 5MG XPE CX 50 FR 120ML+50CM EMB HOSP##369,18 
7896714214115##ACEBROFILINA                                 5MG XPE FR 120ML INF##12,08 
7898148292745##ACEBROFILINA                                 5MG/ML XPE FR 120ML+CM##12,07 
